Origin,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,MPG
1,8,318.000,150.000,3755.000,14.000,76,2.790
1,4,120.000,79.000,2625.000,18.600,82,6.009
1,8,350.000,165.000,4274.000,12.000,72,2.790
1,8,360.000,175.000,3821.000,11.000,73,2.790
3,4,85.000,70.000,1990.000,17.000,76,6.867
1,6,250.000,100.000,3781.000,17.000,74,3.433
1,4,98.000,60.000,2164.000,22.100,76,5.258
3,4,119.000,100.000,2615.000,14.800,81,7.060
1,4,151.000,90.000,2556.000,13.200,79,7.189
3,4,85.000,65.000,1975.000,19.400,81,7.940
3,4,97.000,88.000,2279.000,19.000,73,4.292
2,4,90.000,75.000,2108.000,15.500,74,5.150
3,4,144.000,96.000,2665.000,13.900,82,6.867
1,8,400.000,167.000,4906.000,12.500,73,2.575
1,6,232.000,90.000,3210.000,17.200,78,4.163
1,6,225.000,110.000,3620.000,18.700,78,3.991
1,4,122.000,80.000,2451.000,16.500,74,5.579
1,8,351.000,148.000,4657.000,13.500,75,3.004
1,6,250.000,100.000,3282.000,15.000,71,4.077
1,6,200.000,88.000,3060.000,17.100,81,4.335
1,8,400.000,190.000,4325.000,12.200,77,3.326
3,4,91.000,53.000,1795.000,17.400,76,7.082
3,4,72.000,69.000,1613.000,18.000,71,7.511
1,8,302.000,137.000,4042.000,14.500,73,3.004
1,4,122.000,96.000,2300.000,15.500,77,5.472
3,4,83.000,61.000,2003.000,19.000,74,6.867
1,4,98.000,80.000,1915.000,14.400,79,7.661
1,6,262.000,85.000,3015.000,17.000,82,8.155
2,4,97.000,46.000,1835.000,20.500,70,5.579
1,6,225.000,100.000,3233.000,15.400,76,4.721
1,8,350.000,155.000,4502.000,13.500,72,2.790
3,4,91.000,67.000,1965.000,15.700,82,6.867
1,4,98.000,70.000,2120.000,15.500,80,6.888
1,8,400.000,190.000,4422.000,12.500,72,2.790
1,8,350.000,145.000,4082.000,13.000,73,3.219
1,6,250.000,88.000,3021.000,16.500,73,3.863
1,8,350.000,165.000,3693.000,11.500,70,3.219
3,4,119.000,97.000,2300.000,14.700,78,5.837
2,4,116.000,90.000,2123.000,14.000,71,6.009
1,6,198.000,95.000,2904.000,16.000,73,4.936
3,4,97.000,75.000,2265.000,18.200,77,5.579
1,8,318.000,140.000,3735.000,13.200,78,4.163
1,8,429.000,198.000,4952.000,11.500,73,2.575
1,8,400.000,150.000,4997.000,14.000,73,2.361
2,4,107.000,86.000,2464.000,15.500,76,6.009
2,4,115.000,95.000,2694.000,15.000,75,4.936
3,3,70.000,90.000,2124.000,13.500,73,3.863
1,6,231.000,110.000,3907.000,21.000,75,3.648
2,4,114.000,91.000,2582.000,14.000,73,4.292
1,8,267.000,125.000,3605.000,15.000,79,4.120
2,4,104.000,95.000,2375.000,17.500,70,5.365
3,4,119.000,97.000,2405.000,14.900,78,5.129
3,4,76.000,52.000,1649.000,16.500,74,6.652
1,8,350.000,145.000,4440.000,14.000,75,3.219
3,4,89.000,62.000,2050.000,17.300,81,8.090
1,8,455.000,225.000,4951.000,11.000,73,2.575
1,8,440.000,215.000,4735.000,11.000,73,2.790
1,8,350.000,180.000,3664.000,11.000,73,2.361
1,8,350.000,155.000,4360.000,14.900,79,3.627
1,8,400.000,150.000,3761.000,9.500,70,3.219
1,4,105.000,70.000,2200.000,13.200,79,7.339
1,4,156.000,92.000,2620.000,14.400,81,5.536
2,6,163.000,133.000,3410.000,15.800,78,3.476
1,8,400.000,170.000,4746.000,12.000,71,2.790
2,6,163.000,125.000,3140.000,13.600,78,3.648
1,4,98.000,80.000,2164.000,15.000,72,6.009
1,6,225.000,100.000,3651.000,17.700,76,4.292
3,4,97.000,92.000,2288.000,17.000,72,6.009
1,4,151.000,90.000,2950.000,17.300,82,5.794
3,3,70.000,97.000,2330.000,13.500,72,4.077
1,8,305.000,140.000,4215.000,13.000,76,3.755
3,4,91.000,53.000,1795.000,17.500,75,7.082
1,8,302.000,140.000,3449.000,10.500,70,3.648
1,6,250.000,72.000,3432.000,21.000,75,3.219
1,4,156.000,105.000,2745.000,16.700,78,4.979
1,6,198.000,95.000,3102.000,16.500,74,4.292
3,4,134.000,90.000,2711.000,15.500,80,6.395
1,4,98.000,83.000,2075.000,15.900,77,7.189
2,4,105.000,74.000,2190.000,14.200,81,7.082
2,5,183.000,77.000,3530.000,20.100,79,5.451
1,6,225.000,95.000,3264.000,16.000,75,4.077
1,6,232.000,100.000,2901.000,16.000,74,4.077
1,4,105.000,63.000,2125.000,14.700,82,8.155
1,6,232.000,90.000,3085.000,17.600,76,4.828
3,4,134.000,95.000,2515.000,14.800,78,4.528
2,4,79.000,70.000,2074.000,19.500,71,6.438
1,6,232.000,100.000,3288.000,15.500,71,3.863
1,4,122.000,86.000,2220.000,14.000,71,4.936
1,4,140.000,92.000,2572.000,14.900,76,5.365
1,8,360.000,215.000,4615.000,14.000,70,2.146
3,4,107.000,75.000,2210.000,14.400,81,7.232
1,6,232.000,100.000,2945.000,16.000,73,3.863
1,4,112.000,85.000,2575.000,16.200,82,6.652
1,6,250.000,88.000,3139.000,14.500,71,3.863
1,8,307.000,200.000,4376.000,15.000,70,2.146
3,4,91.000,60.000,1800.000,16.400,78,7.747
1,8,400.000,150.000,4464.000,12.000,73,2.790
1,8,318.000,150.000,4237.000,14.500,73,3.004
3,4,89.000,60.000,1968.000,18.800,80,8.176
1,4,98.000,65.000,2380.000,20.700,81,6.416
3,4,91.000,68.000,1970.000,17.600,82,6.652
1,8,383.000,170.000,3563.000,10.000,70,3.219
1,8,350.000,145.000,4055.000,12.000,76,2.790
1,6,232.000,90.000,3211.000,17.000,75,4.077
1,4,140.000,92.000,2865.000,16.400,82,5.150
1,8,304.000,120.000,3962.000,13.900,76,3.326
3,4,91.000,67.000,1850.000,13.800,80,9.571
2,4,97.000,54.000,2254.000,23.500,72,4.936
1,6,225.000,105.000,3439.000,15.500,71,3.433
1,6,173.000,115.000,2595.000,11.300,79,6.180
1,8,304.000,150.000,3672.000,11.500,73,3.004
1,4,122.000,85.000,2310.000,18.500,73,4.077
1,8,360.000,150.000,3940.000,13.000,79,3.970
3,4,91.000,67.000,1965.000,15.000,82,8.155
1,8,302.000,130.000,3870.000,15.000,76,2.790
2,4,146.000,67.000,3250.000,21.800,80,6.438
1,8,400.000,230.000,4278.000,9.500,73,3.433
2,4,97.000,78.000,2190.000,14.100,77,6.545
1,8,351.000,153.000,4154.000,13.500,71,3.004
1,6,232.000,100.000,2914.000,16.000,75,4.292
2,4,110.000,87.000,2672.000,17.500,70,5.365
1,8,383.000,180.000,4955.000,11.500,71,2.575
1,8,351.000,138.000,3955.000,13.200,79,3.541
1,4,140.000,72.000,2565.000,13.600,76,5.687
2,4,121.000,98.000,2945.000,14.500,75,4.721
1,8,351.000,149.000,4335.000,14.500,77,3.433
2,4,107.000,90.000,2430.000,14.500,70,5.150
1,8,307.000,130.000,4098.000,14.000,72,2.790
1,8,302.000,139.000,3205.000,11.200,78,3.884
1,8,260.000,110.000,3365.000,15.500,78,4.270
1,8,350.000,180.000,4499.000,12.500,73,2.575
1,8,318.000,150.000,4190.000,13.000,76,3.433
1,8,302.000,140.000,4141.000,14.000,74,3.433
1,4,140.000,88.000,2870.000,18.100,80,5.665
1,8,318.000,150.000,3399.000,11.000,73,3.219
3,4,86.000,65.000,2019.000,16.400,80,7.983
1,6,200.000,85.000,2990.000,18.200,79,4.249
3,4,120.000,97.000,2489.000,15.000,74,5.150
1,4,98.000,70.000,2125.000,17.300,82,7.725
1,6,200.000,95.000,3155.000,18.200,78,4.399
2,4,141.000,80.000,3230.000,20.400,81,6.030
1,8,318.000,145.000,4140.000,13.700,77,3.326
2,4,97.000,46.000,1950.000,21.000,73,5.579
1,6,200.000,85.000,2965.000,15.800,78,4.335
3,4,98.000,68.000,2045.000,18.500,77,6.760
3,4,97.000,67.000,2145.000,18.000,80,7.253
1,6,199.000,90.000,2648.000,15.000,70,4.506
3,4,91.000,68.000,2025.000,18.200,82,7.940
1,4,98.000,68.000,2155.000,16.500,78,6.438
2,4,97.000,60.000,1834.000,19.000,71,5.794
3,4,108.000,70.000,2245.000,16.900,82,7.296
2,4,116.000,81.000,2220.000,16.900,76,5.365
3,4,85.000,70.000,2070.000,18.600,78,8.455
3,4,108.000,75.000,2265.000,15.200,80,6.910
1,4,90.000,75.000,2125.000,14.500,74,6.009
1,6,258.000,110.000,3632.000,18.000,74,3.433
1,8,390.000,190.000,3850.000,8.500,70,3.219
3,4,120.000,88.000,2160.000,14.500,82,7.725
1,6,258.000,110.000,3730.000,19.000,75,3.219
1,8,429.000,198.000,4341.000,10.000,70,3.219
1,4,140.000,83.000,2639.000,17.000,75,4.936
2,4,97.000,52.000,2130.000,24.600,82,9.442
2,6,168.000,120.000,3820.000,16.700,76,3.541
3,6,156.000,108.000,2930.000,15.500,76,4.077
2,4,97.000,78.000,2300.000,14.500,74,5.579
1,8,400.000,170.000,4668.000,11.500,75,3.433
1,6,231.000,110.000,3415.000,15.800,81,4.807
1,8,318.000,210.000,4382.000,13.500,70,2.361
1,8,305.000,145.000,3880.000,12.500,77,3.755
1,6,225.000,105.000,3121.000,16.500,73,3.863
2,4,98.000,83.000,2219.000,16.500,74,6.223
1,8,351.000,158.000,4363.000,13.000,73,2.790
3,4,108.000,94.000,2379.000,16.500,73,4.721
1,4,135.000,84.000,2385.000,12.900,81,6.438
1,8,318.000,140.000,4080.000,13.700,78,3.755
3,4,79.000,58.000,1755.000,16.900,81,8.391
1,4,140.000,75.000,2542.000,17.000,74,5.365
1,8,350.000,105.000,3725.000,19.000,81,5.708
1,6,231.000,105.000,3425.000,16.900,77,4.399
1,6,231.000,165.000,3445.000,13.400,78,3.798
3,4,97.000,67.000,1985.000,16.400,77,6.438
1,8,305.000,145.000,3425.000,13.200,78,4.120
1,8,304.000,193.000,4732.000,18.500,70,1.931
2,4,121.000,110.000,2660.000,14.000,73,5.150
1,8,318.000,150.000,3436.000,11.000,70,3.863
2,4,68.000,49.000,1867.000,19.500,73,6.223
1,4,140.000,88.000,2890.000,17.300,79,4.785
1,8,400.000,175.000,4464.000,11.500,71,3.004
2,4,116.000,75.000,2158.000,15.500,73,5.150
2,4,121.000,110.000,2600.000,12.800,77,4.614
1,6,258.000,120.000,3410.000,15.100,78,3.884
1,6,231.000,105.000,3380.000,15.800,78,4.421
1,8,400.000,175.000,4385.000,12.000,72,3.004
1,4,135.000,84.000,2525.000,16.000,82,6.223
2,4,97.000,71.000,1825.000,12.200,76,6.330
2,4,89.000,71.000,1990.000,14.900,78,6.760
1,8,302.000,129.000,3725.000,13.400,79,3.777
1,6,250.000,98.000,3525.000,19.000,77,3.970
1,6,250.000,78.000,3574.000,21.000,76,3.863
1,4,140.000,90.000,2264.000,15.500,71,6.009
1,6,250.000,110.000,3645.000,16.200,76,3.970
1,8,454.000,220.000,4354.000,9.000,70,3.004
1,4,140.000,72.000,2408.000,19.000,71,4.721
3,3,80.000,110.000,2720.000,13.500,77,4.614
1,4,135.000,84.000,2370.000,13.000,82,7.725
1,8,455.000,225.000,3086.000,10.000,70,3.004
1,8,350.000,180.000,4380.000,12.100,76,3.541
1,6,225.000,100.000,3630.000,17.700,77,4.077
1,4,140.000,89.000,2755.000,15.800,77,5.472
1,6,250.000,100.000,3336.000,17.000,74,3.219
3,4,107.000,72.000,2290.000,17.000,80,6.953
1,4,135.000,84.000,2295.000,11.600,82,6.867
1,8,304.000,150.000,3892.000,12.500,72,3.219
3,4,120.000,75.000,2542.000,17.500,80,6.717
2,4,121.000,112.000,2868.000,15.500,73,4.077
3,4,97.000,88.000,2130.000,14.500,70,5.794
3,4,91.000,68.000,1985.000,16.000,81,7.318
1,4,140.000,78.000,2592.000,18.500,75,4.936
1,6,250.000,105.000,3353.000,14.500,76,4.721
1,4,91.000,70.000,1955.000,20.500,71,5.579
1,4,105.000,70.000,2150.000,14.900,79,7.403
