,Origin,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,MPG
0,1,8,307.0,130.0,3504.0,12.0,70,18.0
1,1,8,350.0,165.0,3693.0,11.5,70,15.0
3,1,8,304.0,150.0,3433.0,12.0,70,16.0
4,1,8,302.0,140.0,3449.0,10.5,70,17.0
5,1,8,429.0,198.0,4341.0,10.0,70,15.0
6,1,8,454.0,220.0,4354.0,9.0,70,14.0
7,1,8,440.0,215.0,4312.0,8.5,70,14.0
9,1,8,390.0,190.0,3850.0,8.5,70,15.0
10,1,8,383.0,170.0,3563.0,10.0,70,15.0
11,1,8,340.0,160.0,3609.0,8.0,70,14.0
13,1,8,455.0,225.0,3086.0,10.0,70,14.0
14,3,4,113.0,95.0,2372.0,15.0,70,24.0
15,1,6,198.0,95.0,2833.0,15.5,70,22.0
19,2,4,97.0,46.0,1835.0,20.5,70,26.0
20,2,4,110.0,87.0,2672.0,17.5,70,25.0
21,2,4,107.0,90.0,2430.0,14.5,70,24.0
22,2,4,104.0,95.0,2375.0,17.5,70,25.0
23,2,4,121.0,113.0,2234.0,12.5,70,26.0
25,1,8,360.0,215.0,4615.0,14.0,70,10.0
26,1,8,307.0,200.0,4376.0,15.0,70,10.0
27,1,8,318.0,210.0,4382.0,13.5,70,11.0
28,1,8,304.0,193.0,4732.0,18.5,70,9.0
29,3,4,97.0,88.0,2130.0,14.5,71,27.0
30,1,4,140.0,90.0,2264.0,15.5,71,28.0
31,3,4,113.0,95.0,2228.0,14.0,71,25.0
33,1,6,232.0,100.0,2634.0,13.0,71,19.0
34,1,6,225.0,105.0,3439.0,15.5,71,16.0
35,1,6,250.0,100.0,3329.0,15.5,71,17.0
36,1,6,250.0,88.0,3302.0,15.5,71,19.0
37,1,6,232.0,100.0,3288.0,15.5,71,18.0
38,1,8,350.0,165.0,4209.0,12.0,71,14.0
39,1,8,400.0,175.0,4464.0,11.5,71,14.0
40,1,8,351.0,153.0,4154.0,13.5,71,14.0
41,1,8,318.0,150.0,4096.0,13.0,71,14.0
42,1,8,383.0,180.0,4955.0,11.5,71,12.0
43,1,8,400.0,170.0,4746.0,12.0,71,13.0
45,1,6,258.0,110.0,2962.0,13.5,71,18.0
49,1,4,122.0,86.0,2220.0,14.0,71,23.0
50,2,4,116.0,90.0,2123.0,14.0,71,28.0
51,2,4,79.0,70.0,2074.0,19.5,71,30.0
52,2,4,88.0,76.0,2065.0,14.5,71,30.0
53,3,4,71.0,65.0,1773.0,19.0,71,31.0
54,3,4,72.0,69.0,1613.0,18.0,71,35.0
55,2,4,97.0,60.0,1834.0,19.0,71,27.0
56,1,4,91.0,70.0,1955.0,20.5,71,26.0
57,3,4,113.0,95.0,2278.0,15.5,72,24.0
58,1,4,97.5,80.0,2126.0,17.0,72,25.0
60,1,4,140.0,90.0,2408.0,19.5,72,20.0
61,1,4,122.0,86.0,2226.0,16.5,72,21.0
62,1,8,350.0,165.0,4274.0,12.0,72,13.0
66,1,8,304.0,150.0,3672.0,11.5,72,17.0
67,1,8,429.0,208.0,4633.0,11.0,72,11.0
68,1,8,350.0,155.0,4502.0,13.5,72,13.0
69,1,8,350.0,160.0,4456.0,13.5,72,12.0
70,1,8,400.0,190.0,4422.0,12.5,72,13.0
71,3,3,70.0,97.0,2330.0,13.5,72,19.0
72,1,8,304.0,150.0,3892.0,12.5,72,15.0
73,1,8,307.0,130.0,4098.0,14.0,72,13.0
74,1,8,302.0,140.0,4294.0,16.0,72,13.0
77,2,4,121.0,76.0,2511.0,18.0,72,22.0
78,2,4,120.0,87.0,2979.0,19.5,72,21.0
79,2,4,96.0,69.0,2189.0,18.0,72,26.0
80,1,4,122.0,86.0,2395.0,16.0,72,22.0
81,3,4,97.0,92.0,2288.0,17.0,72,28.0
82,3,4,120.0,97.0,2506.0,14.5,72,23.0
83,1,4,98.0,80.0,2164.0,15.0,72,28.0
85,1,8,350.0,175.0,4100.0,13.0,73,13.0
86,1,8,304.0,150.0,3672.0,11.5,73,14.0
87,1,8,350.0,145.0,3988.0,13.0,73,13.0
88,1,8,302.0,137.0,4042.0,14.5,73,14.0
89,1,8,318.0,150.0,3777.0,12.5,73,15.0
90,1,8,429.0,198.0,4952.0,11.5,73,12.0
91,1,8,400.0,150.0,4464.0,12.0,73,13.0
92,1,8,351.0,158.0,4363.0,13.0,73,13.0
93,1,8,318.0,150.0,4237.0,14.5,73,14.0
95,1,8,455.0,225.0,4951.0,11.0,73,12.0
96,1,8,360.0,175.0,3821.0,11.0,73,13.0
97,1,6,225.0,105.0,3121.0,16.5,73,18.0
98,1,6,250.0,100.0,3278.0,18.0,73,16.0
100,1,6,250.0,88.0,3021.0,16.5,73,18.0
101,1,6,198.0,95.0,2904.0,16.0,73,23.0
102,2,4,97.0,46.0,1950.0,21.0,73,26.0
103,1,8,400.0,150.0,4997.0,14.0,73,11.0
104,1,8,400.0,167.0,4906.0,12.5,73,12.0
105,1,8,360.0,170.0,4654.0,13.0,73,13.0
106,1,8,350.0,180.0,4499.0,12.5,73,12.0
107,1,6,232.0,100.0,2789.0,15.0,73,18.0
108,3,4,97.0,88.0,2279.0,19.0,73,20.0
110,3,4,108.0,94.0,2379.0,16.5,73,22.0
111,3,3,70.0,90.0,2124.0,13.5,73,18.0
112,1,4,122.0,85.0,2310.0,18.5,73,19.0
114,2,4,98.0,90.0,2265.0,15.5,73,26.0
116,1,8,400.0,230.0,4278.0,9.5,73,16.0
117,2,4,68.0,49.0,1867.0,19.5,73,29.0
119,2,4,114.0,91.0,2582.0,14.0,73,20.0
120,2,4,121.0,112.0,2868.0,15.5,73,19.0
121,1,8,318.0,150.0,3399.0,11.0,73,15.0
122,2,4,121.0,110.0,2660.0,14.0,73,24.0
123,3,6,156.0,122.0,2807.0,13.5,73,20.0
125,1,6,198.0,95.0,3102.0,16.5,74,20.0
127,1,6,232.0,100.0,2901.0,16.0,74,19.0
128,1,6,250.0,100.0,3336.0,17.0,74,15.0
129,3,4,79.0,67.0,1950.0,19.0,74,31.0
130,1,4,122.0,80.0,2451.0,16.5,74,26.0
131,3,4,71.0,65.0,1836.0,21.0,74,32.0
132,1,4,140.0,75.0,2542.0,17.0,74,25.0
133,1,6,250.0,100.0,3781.0,17.0,74,16.0
134,1,6,258.0,110.0,3632.0,18.0,74,16.0
135,1,6,225.0,105.0,3613.0,16.5,74,18.0
136,1,8,302.0,140.0,4141.0,14.0,74,16.0
137,1,8,350.0,150.0,4699.0,14.5,74,13.0
138,1,8,318.0,150.0,4457.0,13.5,74,14.0
140,1,8,304.0,150.0,4257.0,15.5,74,14.0
141,2,4,98.0,83.0,2219.0,16.5,74,29.0
142,2,4,79.0,67.0,1963.0,15.5,74,26.0
143,2,4,97.0,78.0,2300.0,14.5,74,26.0
144,3,4,76.0,52.0,1649.0,16.5,74,31.0
146,1,4,90.0,75.0,2125.0,14.5,74,28.0
147,2,4,90.0,75.0,2108.0,15.5,74,24.0
148,2,4,116.0,75.0,2246.0,14.0,74,26.0
149,3,4,120.0,97.0,2489.0,15.0,74,24.0
150,3,4,108.0,93.0,2391.0,15.5,74,26.0
151,2,4,79.0,67.0,2000.0,16.0,74,31.0
152,1,6,225.0,95.0,3264.0,16.0,75,19.0
153,1,6,250.0,105.0,3459.0,16.0,75,18.0
154,1,6,250.0,72.0,3432.0,21.0,75,15.0
155,1,6,250.0,72.0,3158.0,19.5,75,15.0
156,1,8,400.0,170.0,4668.0,11.5,75,16.0
157,1,8,350.0,145.0,4440.0,14.0,75,15.0
158,1,8,318.0,150.0,4498.0,14.5,75,16.0
160,1,6,231.0,110.0,3907.0,21.0,75,17.0
161,1,6,250.0,105.0,3897.0,18.5,75,16.0
162,1,6,258.0,110.0,3730.0,19.0,75,15.0
163,1,6,225.0,95.0,3785.0,19.0,75,18.0
164,1,6,231.0,110.0,3039.0,15.0,75,21.0
165,1,8,262.0,110.0,3221.0,13.5,75,20.0
167,3,4,97.0,75.0,2171.0,16.0,75,29.0
168,1,4,140.0,83.0,2639.0,17.0,75,23.0
169,1,6,232.0,100.0,2914.0,16.0,75,20.0
170,1,4,140.0,78.0,2592.0,18.5,75,23.0
171,3,4,134.0,96.0,2702.0,13.5,75,24.0
172,2,4,90.0,71.0,2223.0,16.5,75,25.0
174,1,6,171.0,97.0,2984.0,14.5,75,18.0
175,2,4,90.0,70.0,1937.0,14.0,75,29.0
178,2,4,120.0,88.0,2957.0,17.0,75,23.0
179,2,4,121.0,98.0,2945.0,14.5,75,22.0
181,3,4,91.0,53.0,1795.0,17.5,75,33.0
182,2,4,107.0,86.0,2464.0,15.5,76,28.0
183,2,4,116.0,81.0,2220.0,16.9,76,25.0
184,1,4,140.0,92.0,2572.0,14.9,76,25.0
185,1,4,98.0,79.0,2255.0,17.7,76,26.0
186,2,4,101.0,83.0,2202.0,15.3,76,27.0
187,1,8,305.0,140.0,4215.0,13.0,76,17.5
188,1,8,318.0,150.0,4190.0,13.0,76,16.0
189,1,8,304.0,120.0,3962.0,13.9,76,15.5
190,1,8,351.0,152.0,4215.0,12.8,76,14.5
191,1,6,225.0,100.0,3233.0,15.4,76,22.0
192,1,6,250.0,105.0,3353.0,14.5,76,22.0
193,1,6,200.0,81.0,3012.0,17.6,76,24.0
194,1,6,232.0,90.0,3085.0,17.6,76,22.5
195,1,4,85.0,52.0,2035.0,22.2,76,29.0
196,1,4,98.0,60.0,2164.0,22.1,76,24.5
198,3,4,91.0,53.0,1795.0,17.4,76,33.0
199,1,6,225.0,100.0,3651.0,17.7,76,20.0
200,1,6,250.0,78.0,3574.0,21.0,76,18.0
201,1,6,250.0,110.0,3645.0,16.2,76,18.5
202,1,6,258.0,95.0,3193.0,17.8,76,17.5
203,2,4,97.0,71.0,1825.0,12.2,76,29.5
204,3,4,85.0,70.0,1990.0,17.0,76,32.0
205,3,4,97.0,75.0,2155.0,16.4,76,28.0
206,1,4,140.0,72.0,2565.0,13.6,76,26.5
208,1,8,318.0,150.0,3940.0,13.2,76,13.0
209,2,4,120.0,88.0,3270.0,21.9,76,19.0
210,3,6,156.0,108.0,2930.0,15.5,76,19.0
211,2,6,168.0,120.0,3820.0,16.7,76,16.5
212,1,8,350.0,180.0,4380.0,12.1,76,16.5
213,1,8,350.0,145.0,4055.0,12.0,76,13.0
214,1,8,302.0,130.0,3870.0,15.0,76,13.0
216,3,4,98.0,68.0,2045.0,18.5,77,31.5
217,1,4,111.0,80.0,2155.0,14.8,77,30.0
218,2,4,79.0,58.0,1825.0,18.6,77,36.0
220,3,4,85.0,70.0,1945.0,16.8,77,33.5
221,1,8,305.0,145.0,3880.0,12.5,77,17.5
223,1,8,318.0,145.0,4140.0,13.7,77,15.5
224,1,8,302.0,130.0,4295.0,14.9,77,15.0
225,1,6,250.0,110.0,3520.0,16.4,77,17.5
226,1,6,231.0,105.0,3425.0,16.9,77,20.5
227,1,6,225.0,100.0,3630.0,17.7,77,19.0
228,1,6,250.0,98.0,3525.0,19.0,77,18.5
229,1,8,400.0,180.0,4220.0,11.1,77,16.0
230,1,8,350.0,170.0,4165.0,11.4,77,15.5
231,1,8,400.0,190.0,4325.0,12.2,77,15.5
233,2,4,97.0,78.0,1940.0,14.5,77,29.0
234,1,4,151.0,88.0,2740.0,16.0,77,24.5
235,3,4,97.0,75.0,2265.0,18.2,77,26.0
236,1,4,140.0,89.0,2755.0,15.8,77,25.5
237,1,4,98.0,63.0,2051.0,17.0,77,30.5
238,1,4,98.0,83.0,2075.0,15.9,77,33.5
240,2,4,97.0,78.0,2190.0,14.1,77,30.5
241,3,6,146.0,97.0,2815.0,14.5,77,22.0
242,2,4,121.0,110.0,2600.0,12.8,77,21.5
243,3,3,80.0,110.0,2720.0,13.5,77,21.5
244,2,4,90.0,48.0,1985.0,21.5,78,43.1
246,3,4,78.0,52.0,1985.0,19.4,78,32.8
247,3,4,85.0,70.0,2070.0,18.6,78,39.4
248,3,4,91.0,60.0,1800.0,16.4,78,36.1
250,1,8,318.0,140.0,3735.0,13.2,78,19.4
251,1,8,302.0,139.0,3570.0,12.8,78,20.2
253,1,6,200.0,95.0,3155.0,18.2,78,20.5
254,1,6,200.0,85.0,2965.0,15.8,78,20.2
255,1,4,140.0,88.0,2720.0,15.4,78,25.1
256,1,6,225.0,100.0,3430.0,17.2,78,20.5
257,1,6,232.0,90.0,3210.0,17.2,78,19.4
259,1,6,200.0,85.0,3070.0,16.7,78,20.8
260,1,6,225.0,110.0,3620.0,18.7,78,18.6
261,1,6,258.0,120.0,3410.0,15.1,78,18.1
263,1,6,231.0,165.0,3445.0,13.4,78,17.7
264,1,8,302.0,139.0,3205.0,11.2,78,18.1
265,1,8,318.0,140.0,4080.0,13.7,78,17.5
266,1,4,98.0,68.0,2155.0,16.5,78,30.0
267,3,4,134.0,95.0,2560.0,14.2,78,27.5
268,3,4,119.0,97.0,2300.0,14.7,78,27.2
269,1,4,105.0,75.0,2230.0,14.5,78,30.9
270,3,4,134.0,95.0,2515.0,14.8,78,21.1
271,1,4,156.0,105.0,2745.0,16.7,78,23.2
274,2,5,131.0,103.0,2830.0,15.9,78,20.3
275,2,6,163.0,125.0,3140.0,13.6,78,17.0
276,2,4,121.0,115.0,2795.0,15.7,78,21.6
277,2,6,163.0,133.0,3410.0,15.8,78,16.2
278,2,4,89.0,71.0,1990.0,14.9,78,31.5
279,3,4,98.0,68.0,2135.0,16.6,78,29.5
280,1,6,231.0,115.0,3245.0,15.4,79,21.5
281,1,6,200.0,85.0,2990.0,18.2,79,19.8
282,1,4,140.0,88.0,2890.0,17.3,79,22.3
284,1,6,225.0,110.0,3360.0,16.6,79,20.6
