Sample,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,T
1,2,2,2,2,1,3,5,3,5,4,2,4,3
2,4,5,2,3,3,3,5,4,5,5,4,5,3
3,3,5,1,1,2,2,5,3,5,5,3,5,3
4,2,3,2,1,2,4,5,2,5,4,3,4,3
5,3,4,3,2,2,2,5,3,5,5,3,5,3
6,3,5,3,3,3,2,5,3,4,4,3,4,3
7,3,5,2,3,4,4,5,4,4,5,3,5,3
8,1,1,4,1,2,3,5,2,4,4,1,4,3
9,3,4,3,3,2,4,4,2,4,3,1,3,3
10,3,4,2,1,2,2,4,2,4,4,1,4,3
11,2,5,1,1,3,4,4,3,4,4,3,4,3
12,3,3,4,4,3,4,4,2,4,4,1,3,3
13,1,1,2,1,1,3,4,2,4,4,1,4,3
14,2,1,1,1,4,3,4,2,4,4,3,3,3
15,2,3,2,1,1,2,4,4,4,4,2,5,3
16,2,3,4,3,1,5,4,2,4,3,2,3,3
17,2,2,2,1,1,4,4,4,4,4,2,4,3
18,2,1,3,1,1,3,5,2,4,2,1,3,3
19,2,1,2,1,1,3,4,2,4,4,2,4,3
20,2,1,2,1,1,5,4,2,4,4,2,4,3
21,2,1,1,1,1,3,2,2,4,4,2,3,2
22,1,1,3,1,2,1,3,4,4,4,3,4,2
23,2,1,2,1,1,2,4,3,3,2,1,2,2
24,1,1,1,1,1,1,3,2,4,4,2,3,2
25,2,2,2,1,1,3,3,2,4,4,2,3,2
26,2,2,1,1,1,3,2,2,4,4,2,3,2
27,2,1,2,1,1,3,2,2,4,4,2,4,2
28,1,1,4,1,3,1,2,2,3,3,1,2,2
29,3,4,4,3,2,3,3,4,4,4,3,4,2
30,3,1,3,3,1,2,2,3,4,4,2,3,2
31,1,1,2,1,1,1,3,3,4,4,2,3,1
32,3,5,2,1,1,1,3,2,4,4,1,3,1
33,2,2,1,1,1,1,3,3,4,4,3,4,1
34,2,1,1,1,1,1,2,2,4,4,3,4,1
35,1,1,2,1,1,1,2,1,3,3,1,2,1
36,1,1,3,1,2,1,2,1,3,3,2,3,1
37,1,1,1,1,1,1,2,2,4,4,2,3,1
38,1,1,3,1,1,1,1,1,3,3,1,3,1
39,2,1,1,1,1,1,1,1,1,1,1,2,1
