sepal.length,sepal.width,petal.length,petal.width,variety
5.400,3.700,1.500,0.200,0
4.800,3.000,1.400,0.100,0
4.700,3.200,1.600,0.200,0
6.500,3.000,5.500,1.800,1
6.400,3.100,5.500,1.800,1
7.700,2.600,6.900,2.300,1
6.500,3.000,5.800,2.200,1
4.400,3.000,1.300,0.200,0
5.700,3.800,1.700,0.300,0
6.900,3.100,5.400,2.100,1
5.400,3.400,1.500,0.400,0
6.500,3.000,5.200,2.000,1
6.700,3.000,5.200,2.300,1
7.400,2.800,6.100,1.900,1
5.700,2.500,5.000,2.000,1
4.900,3.600,1.400,0.100,0
5.100,3.500,1.400,0.300,0
5.000,3.500,1.300,0.300,0
5.000,3.300,1.400,0.200,0
4.300,3.000,1.100,0.100,0
6.900,3.100,5.100,2.300,1
6.300,3.300,6.000,2.500,1
6.500,3.200,5.100,2.000,1
4.500,2.300,1.300,0.300,0
5.000,3.400,1.600,0.400,0
5.000,3.600,1.400,0.200,0
5.000,3.000,1.600,0.200,0
4.600,3.600,1.000,0.200,0
5.300,3.700,1.500,0.200,0
6.900,3.200,5.700,2.300,1
6.700,3.300,5.700,2.100,1
7.900,3.800,6.400,2.000,1
5.400,3.900,1.300,0.400,0
6.400,2.800,5.600,2.200,1
6.700,3.100,5.600,2.400,1
7.600,3.000,6.600,2.100,1
5.200,3.400,1.400,0.200,0
5.400,3.400,1.700,0.200,0
7.700,3.800,6.700,2.200,1
5.600,2.800,4.900,2.000,1
6.800,3.000,5.500,2.100,1
5.100,3.800,1.500,0.300,0
4.900,2.500,4.500,1.700,1
5.000,3.200,1.200,0.200,0
7.300,2.900,6.300,1.800,1
6.100,2.600,5.600,1.400,1
4.600,3.400,1.400,0.300,0
4.800,3.400,1.900,0.200,0
4.900,3.000,1.400,0.200,0
4.600,3.100,1.500,0.200,0
5.800,4.000,1.200,0.200,0
5.100,3.500,1.400,0.200,0
5.800,2.700,5.100,1.900,1
5.200,4.100,1.500,0.100,0
7.100,3.000,5.900,2.100,1
4.600,3.200,1.400,0.200,0
4.800,3.000,1.400,0.300,0
5.100,3.400,1.500,0.200,0
5.900,3.000,5.100,1.800,1
4.900,3.100,1.500,0.100,0
5.800,2.700,5.100,1.900,1
6.200,2.800,4.800,1.800,1
7.700,3.000,6.100,2.300,1
6.700,2.500,5.800,1.800,1
4.700,3.200,1.300,0.200,0
6.300,2.500,5.000,1.900,1
6.000,2.200,5.000,1.500,1
6.400,2.800,5.600,2.100,1
5.500,3.500,1.300,0.200,0
7.200,3.000,5.800,1.600,1
